file_name,subjectID,age,gender,subjectNumber,block,game,gameLength,uc,m1,m2,gID,repeatNumber,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10
EE_EE_01-Aug-2018_143233_01-Aug-2018_112.mat,112,23,1,1,1,1,10,1,60,64,NaN,NaN,63,55,58,53,52,67,67,68,63,65,2,1,1,1,2,2,2,2,2,2,0.540196,0.460508,0.426110,0.826911,0.850455,6.951739,0.853350,0.359536,0.318237,0.346289
EE_EE_01-Aug-2018_143233_01-Aug-2018_112.mat,112,23,1,1,1,2,10,1,60,90,NaN,NaN,67,49,88,53,90,90,97,99,94,88,1,1,2,1,2,2,2,2,2,2,1.025977,0.432210,0.340585,0.329498,1.567722,0.444685,0.251859,0.084858,0.198385,0.107137
EE_EE_01-Aug-2018_143233_01-Aug-2018_112.mat,112,23,1,1,1,3,10,1,30,60,NaN,NaN,56,22,38,32,54,51,58,58,72,58,2,1,1,1,2,2,2,2,2,2,0.622361,0.356373,0.381031,0.379409,1.909835,0.293315,0.259499,0.139393,0.169800,0.205336
EE_EE_01-Aug-2018_143233_01-Aug-2018_112.mat,112,23,1,1,1,4,10,1,68,60,NaN,NaN,81,78,66,56,64,67,70,66,72,71,1,1,1,2,1,1,1,1,1,1,0.719615,0.344789,0.360622,0.391374,0.747645,0.534518,0.334560,0.212442,0.189157,0.213525
EE_EE_01-Aug-2018_143233_01-Aug-2018_112.mat,112,23,1,1,1,5,10,1,40,52,NaN,NaN,54,40,41,27,68,34,70,55,60,39,2,1,1,1,2,2,2,2,2,2,0.662275,0.416615,0.940256,0.415233,0.567982,0.356604,0.487319,0.512214,0.168936,0.177471
EE_EE_01-Aug-2018_143233_01-Aug-2018_112.mat,112,23,1,1,1,6,5,1,48,60,NaN,NaN,46,51,63,52,68,NaN,NaN,NaN,NaN,NaN,1,1,2,1,2,NaN,NaN,NaN,NaN,NaN,0.796634,0.678985,0.446263,0.535051,2.828400,NaN,NaN,NaN,NaN,NaN
EE_EE_01-Aug-2018_143233_01-Aug-2018_112.mat,112,23,1,1,1,7,5,3,40,52,NaN,NaN,52,59,29,55,62,NaN,NaN,NaN,NaN,NaN,2,2,1,2,2,NaN,NaN,NaN,NaN,NaN,0.703880,0.455958,0.417426,0.285930,1.908987,NaN,NaN,NaN,NaN,NaN
EE_EE_01-Aug-2018_143233_01-Aug-2018_112.mat,112,23,1,1,1,8,5,1,20,40,NaN,NaN,40,14,15,30,40,NaN,NaN,NaN,NaN,NaN,2,1,1,1,2,NaN,NaN,NaN,NaN,NaN,0.511433,0.328235,0.372163,0.349848,0.702734,NaN,NaN,NaN,NaN,NaN
EE_EE_01-Aug-2018_143233_01-Aug-2018_112.mat,112,23,1,1,1,9,10,3,60,52,NaN,NaN,56,53,42,56,59,51,51,60,35,48,2,2,1,2,2,2,2,2,2,2,0.601648,0.424953,0.365837,0.329208,0.397541,0.250820,0.162765,0.083043,0.160812,0.353469
EE_EE_01-Aug-2018_143233_01-Aug-2018_112.mat,112,23,1,1,1,10,5,1,60,72,NaN,NaN,57,65,67,75,65,NaN,NaN,NaN,NaN,NaN,1,1,1,2,2,NaN,NaN,NaN,NaN,NaN,0.533189,0.590202,0.334616,0.447426,0.877797,NaN,NaN,NaN,NaN,NaN
EE_EE_01-Aug-2018_143233_01-Aug-2018_112.mat,112,23,1,1,1,11,10,3,36,40,NaN,NaN,20,44,31,38,41,46,38,53,36,43,2,2,1,2,2,2,2,2,2,2,0.718311,0.341879,0.312328,0.329205,1.898647,0.811643,0.342676,0.360365,0.147756,0.526367
EE_EE_01-Aug-2018_143233_01-Aug-2018_112.mat,112,23,1,1,1,12,5,1,44,40,NaN,NaN,45,35,47,38,30,NaN,NaN,NaN,NaN,NaN,1,2,1,1,1,NaN,NaN,NaN,NaN,NaN,0.456896,0.259190,0.367792,0.676981,0.880282,NaN,NaN,NaN,NaN,NaN
EE_EE_01-Aug-2018_143233_01-Aug-2018_112.mat,112,23,1,1,1,13,5,3,68,60,NaN,NaN,62,58,52,61,59,NaN,NaN,NaN,NaN,NaN,2,2,2,1,2,NaN,NaN,NaN,NaN,NaN,0.585829,0.476067,0.360348,0.400443,0.779827,NaN,NaN,NaN,NaN,NaN
EE_EE_01-Aug-2018_143233_01-Aug-2018_112.mat,112,23,1,1,1,14,10,1,56,60,NaN,NaN,58,49,55,52,49,68,66,53,63,56,1,1,1,2,1,2,2,2,2,2,0.627897,0.430368,0.438928,0.293124,1.349336,0.923693,0.230573,0.191134,0.211561,0.014731
