expt_name,subjectID,age,gender,subjectNumber,block,game,gameLength,uc,m1,m2,gID,repeatNumber,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10
SZcontrols,EE_063808_date_20160217T165725.mat,50.000000,0.000000,1.000000,1.000000,1.000000,10.000000,2.000000,20.000000,40.000000,NaN,NaN,45.000000,25.000000,38.000000,12.000000,38.000000,42.000000,44.000000,35.000000,42.000000,45.000000,2.000000,1.000000,2.000000,1.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,1.682626,1.032191,1.178702,1.069150,4.502365,2.624624,1.071699,0.623271,2.306085,2.055067
SZcontrols,EE_063808_date_20160217T165725.mat,50.000000,0.000000,1.000000,1.000000,2.000000,10.000000,2.000000,40.000000,70.000000,NaN,NaN,71.000000,35.000000,71.000000,26.000000,61.000000,55.000000,61.000000,61.000000,67.000000,69.000000,2.000000,1.000000,2.000000,1.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.301478,1.068451,0.493363,0.829458,1.584975,0.811752,1.207526,0.865032,1.369456,1.478371
SZcontrols,EE_063808_date_20160217T165725.mat,50.000000,0.000000,1.000000,1.000000,3.000000,5.000000,2.000000,40.000000,60.000000,NaN,NaN,50.000000,43.000000,46.000000,45.000000,61.000000,NaN,NaN,NaN,NaN,NaN,2.000000,1.000000,1.000000,2.000000,2.000000,NaN,NaN,NaN,NaN,NaN,1.349469,0.771498,3.191858,2.736093,2.563454,NaN,NaN,NaN,NaN,NaN
SZcontrols,EE_063808_date_20160217T165725.mat,50.000000,0.000000,1.000000,1.000000,4.000000,10.000000,2.000000,52.000000,60.000000,NaN,NaN,52.000000,51.000000,57.000000,54.000000,67.000000,58.000000,68.000000,57.000000,68.000000,65.000000,2.000000,1.000000,2.000000,1.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,1.253618,0.527236,0.879085,0.496410,5.255324,0.306786,0.329684,0.274664,0.371664,1.344934
SZcontrols,EE_063808_date_20160217T165725.mat,50.000000,0.000000,1.000000,1.000000,5.000000,10.000000,2.000000,40.000000,36.000000,NaN,NaN,32.000000,32.000000,38.000000,33.000000,37.000000,48.000000,38.000000,49.000000,36.000000,48.000000,2.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.141242,1.274570,0.868803,0.981894,4.777466,0.352225,0.524915,0.308501,0.228624,1.551818
SZcontrols,EE_063808_date_20160217T165725.mat,50.000000,0.000000,1.000000,1.000000,6.000000,5.000000,1.000000,64.000000,60.000000,NaN,NaN,74.000000,51.000000,72.000000,76.000000,57.000000,NaN,NaN,NaN,NaN,NaN,2.000000,1.000000,1.000000,1.000000,2.000000,NaN,NaN,NaN,NaN,NaN,0.948231,0.370511,1.280930,2.586170,3.778388,NaN,NaN,NaN,NaN,NaN
SZcontrols,EE_063808_date_20160217T165725.mat,50.000000,0.000000,1.000000,1.000000,7.000000,10.000000,2.000000,36.000000,40.000000,NaN,NaN,40.000000,34.000000,31.000000,37.000000,41.000000,43.000000,47.000000,41.000000,44.000000,45.000000,2.000000,2.000000,1.000000,1.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,1.003209,1.198889,1.154401,0.719565,7.710767,0.210344,0.247134,0.329634,0.329007,0.511331
SZcontrols,EE_063808_date_20160217T165725.mat,50.000000,0.000000,1.000000,1.000000,8.000000,5.000000,1.000000,48.000000,60.000000,NaN,NaN,56.000000,59.000000,48.000000,48.000000,71.000000,NaN,NaN,NaN,NaN,NaN,2.000000,1.000000,1.000000,1.000000,2.000000,NaN,NaN,NaN,NaN,NaN,25.510755,0.640435,19.450674,1.271623,4.023801,NaN,NaN,NaN,NaN,NaN
SZcontrols,EE_063808_date_20160217T165725.mat,50.000000,0.000000,1.000000,1.000000,9.000000,5.000000,3.000000,52.000000,40.000000,NaN,NaN,46.000000,46.000000,47.000000,56.000000,47.000000,NaN,NaN,NaN,NaN,NaN,2.000000,1.000000,2.000000,2.000000,2.000000,NaN,NaN,NaN,NaN,NaN,0.764887,0.354494,0.609323,2.517395,1.681491,NaN,NaN,NaN,NaN,NaN
SZcontrols,EE_063808_date_20160217T165725.mat,50.000000,0.000000,1.000000,1.000000,10.000000,10.000000,1.000000,44.000000,40.000000,NaN,NaN,49.000000,43.000000,33.000000,41.000000,40.000000,25.000000,23.000000,36.000000,45.000000,49.000000,1.000000,2.000000,1.000000,1.000000,2.000000,2.000000,2.000000,1.000000,1.000000,1.000000,0.784430,0.734309,0.395827,2.097555,13.014218,0.341973,0.836691,0.711523,1.878814,0.869444
