expt_name,replicationFlag,subjectID,order,age,iswoman,sessionNumber,game,gameLength,uc,m1,m2,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10
vertex,0,1.000000,0.000000,26.000000,0.000000,1.000000,1.000000,5.000000,3.000000,40.000000,32.000000,51.000000,47.000000,33.000000,18.000000,55.000000,NaN,NaN,NaN,NaN,NaN,1.000000,2.000000,2.000000,2.000000,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.416998,NaN,NaN,NaN,NaN,NaN
vertex,0,1.000000,0.000000,26.000000,0.000000,1.000000,2.000000,5.000000,3.000000,60.000000,48.000000,52.000000,49.000000,53.000000,44.000000,50.000000,NaN,NaN,NaN,NaN,NaN,2.000000,1.000000,2.000000,2.000000,2.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.317264,NaN,NaN,NaN,NaN,NaN
vertex,0,1.000000,0.000000,26.000000,0.000000,1.000000,3.000000,5.000000,1.000000,40.000000,20.000000,49.000000,45.000000,22.000000,28.000000,30.000000,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000,2.000000,1.000000,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.383654,NaN,NaN,NaN,NaN,NaN
vertex,0,1.000000,0.000000,26.000000,0.000000,1.000000,4.000000,5.000000,2.000000,36.000000,40.000000,32.000000,31.000000,40.000000,21.000000,33.000000,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000,2.000000,2.000000,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.367162,NaN,NaN,NaN,NaN,NaN
vertex,0,1.000000,0.000000,26.000000,0.000000,1.000000,5.000000,5.000000,3.000000,60.000000,52.000000,52.000000,46.000000,67.000000,54.000000,56.000000,NaN,NaN,NaN,NaN,NaN,2.000000,2.000000,1.000000,2.000000,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.267352,NaN,NaN,NaN,NaN,NaN
vertex,0,1.000000,0.000000,26.000000,0.000000,1.000000,6.000000,10.000000,2.000000,60.000000,40.000000,38.000000,68.000000,56.000000,27.000000,64.000000,62.000000,67.000000,63.000000,55.000000,59.000000,2.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,NaN,NaN,NaN,0.251368,0.033748,0.167445,0.183785,0.050161,0.533782
vertex,0,1.000000,0.000000,26.000000,0.000000,1.000000,7.000000,5.000000,1.000000,40.000000,28.000000,35.000000,58.000000,36.000000,28.000000,24.000000,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000,1.000000,2.000000,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.333743,NaN,NaN,NaN,NaN,NaN
vertex,0,1.000000,0.000000,26.000000,0.000000,1.000000,8.000000,10.000000,2.000000,28.000000,40.000000,30.000000,46.000000,31.000000,48.000000,59.000000,27.000000,33.000000,39.000000,49.000000,31.000000,1.000000,2.000000,1.000000,2.000000,2.000000,2.000000,1.000000,2.000000,2.000000,2.000000,NaN,NaN,NaN,NaN,0.200994,0.167109,0.300579,0.267117,0.151451,0.100301
vertex,0,1.000000,0.000000,26.000000,0.000000,1.000000,9.000000,10.000000,2.000000,20.000000,40.000000,40.000000,48.000000,20.000000,16.000000,41.000000,16.000000,42.000000,15.000000,17.000000,45.000000,2.000000,2.000000,1.000000,1.000000,2.000000,1.000000,2.000000,2.000000,1.000000,2.000000,NaN,NaN,NaN,NaN,1.418071,0.233860,0.233534,0.067718,0.266659,0.200654
vertex,0,1.000000,0.000000,26.000000,0.000000,1.000000,10.000000,5.000000,1.000000,40.000000,20.000000,40.000000,45.000000,16.000000,30.000000,20.000000,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000,2.000000,1.000000,2.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.234904,NaN,NaN,NaN,NaN,NaN
vertex,0,1.000000,0.000000,26.000000,0.000000,1.000000,11.000000,10.000000,3.000000,40.000000,32.000000,49.000000,30.000000,25.000000,32.000000,30.000000,42.000000,36.000000,36.000000,37.000000,36.000000,1.000000,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,1.000000,2.000000,1.000000,NaN,NaN,NaN,NaN,0.416526,0.301204,0.283727,0.300571,0.167061,0.383748
