subject,age,gender,block,value_option0,value_option1,uncertainty,trial,reward,RT,choice,forced,mask,horizon
1001.0,26,0,0,40,32,1,0,51,-99.0,0,1,1,1
1001.0,26,0,0,40,32,1,1,47,-99.0,1,1,1,1
1001.0,26,0,0,40,32,1,2,33,-99.0,1,1,1,1
1001.0,26,0,0,40,32,1,3,18,-99.0,1,1,1,1
1001.0,26,0,0,40,32,1,4,55,0.416998,0,0,0,1
1001.0,26,0,1,60,48,1,0,52,-99.0,1,1,1,1
1001.0,26,0,1,60,48,1,1,49,-99.0,0,1,1,1
1001.0,26,0,1,60,48,1,2,53,-99.0,1,1,1,1
1001.0,26,0,1,60,48,1,3,44,-99.0,1,1,1,1
1001.0,26,0,1,60,48,1,4,50,0.317264,1,0,0,1
1001.0,26,0,2,40,20,-1,0,49,-99.0,0,1,1,1
1001.0,26,0,2,40,20,-1,1,45,-99.0,0,1,1,1
1001.0,26,0,2,40,20,-1,2,22,-99.0,1,1,1,1
1001.0,26,0,2,40,20,-1,3,28,-99.0,0,1,1,1
1001.0,26,0,2,40,20,-1,4,30,0.383654,0,0,0,1
1001.0,26,0,3,36,40,0,0,32,-99.0,0,1,1,1
1001.0,26,0,3,36,40,0,1,31,-99.0,0,1,1,1
1001.0,26,0,3,36,40,0,2,40,-99.0,1,1,1,1
1001.0,26,0,3,36,40,0,3,21,-99.0,1,1,1,1
1001.0,26,0,3,36,40,0,4,33,1.367162,0,0,0,1
1001.0,26,0,4,60,52,1,0,52,-99.0,1,1,1,1
1001.0,26,0,4,60,52,1,1,46,-99.0,1,1,1,1
1001.0,26,0,4,60,52,1,2,67,-99.0,0,1,1,1
1001.0,26,0,4,60,52,1,3,54,-99.0,1,1,1,1
1001.0,26,0,4,60,52,1,4,56,0.267352,0,0,0,1
1001.0,26,0,5,60,40,0,0,38,-99.0,1,1,1,6
1001.0,26,0,5,60,40,0,1,68,-99.0,0,1,1,6
1001.0,26,0,5,60,40,0,2,56,-99.0,0,1,1,6
1001.0,26,0,5,60,40,0,3,27,-99.0,1,1,1,6
1001.0,26,0,5,60,40,0,4,64,0.251368,0,0,0,6
1001.0,26,0,5,60,40,0,5,62,0.033748,0,0,0,6
1001.0,26,0,5,60,40,0,6,67,0.167445,0,0,0,6
1001.0,26,0,5,60,40,0,7,63,0.183785,0,0,0,6
1001.0,26,0,5,60,40,0,8,55,0.050161,0,0,0,6
1001.0,26,0,5,60,40,0,9,59,0.533782,0,0,0,6
1001.0,26,0,6,40,28,-1,0,35,-99.0,0,1,1,1
1001.0,26,0,6,40,28,-1,1,58,-99.0,0,1,1,1
1001.0,26,0,6,40,28,-1,2,36,-99.0,0,1,1,1
1001.0,26,0,6,40,28,-1,3,28,-99.0,1,1,1,1
1001.0,26,0,6,40,28,-1,4,24,0.333743,0,0,0,1
1001.0,26,0,7,28,40,0,0,30,-99.0,0,1,1,6
1001.0,26,0,7,28,40,0,1,46,-99.0,1,1,1,6
