subject,horizon,condition,A,B,sigma
0,1,equal,-0.09269234842647175,-1.633653312276432,16.583933675120218
0,6,unequal,-10.049032554050932,3.8382354100907516,49.99999999999999
1,1,equal,0.1682204085376221,-1.376588423816684,1.2805969376143855
1,6,unequal,-0.6960077790843207,-1.588304456702122,1.647459888071569
2,1,equal,3.1187667407837716,-0.4823680052019092,3.6811965626209737
2,6,unequal,5.201509268899801,0.06805360933627146,6.561970253397931
3,1,equal,-0.8855885383985002,-1.6917096783667434,2.542199114234729
3,6,unequal,7.391501227525594,0.9535435981260955,5.343842597233022
4,1,equal,2.2297120064216664,-0.8075047506108829,4.193252812103244
4,6,unequal,0.14424218697102403,-1.51926264283661,11.601174407439991
5,1,equal,10.227103215906386,1.4939036224270967,49.99999999999978
5,6,unequal,14.97923806408494,3.6037359567045604,31.379993083029934
6,1,equal,2.7065585689796285,-0.6553900983165645,4.792429172453022
6,6,unequal,3.3216121195978925,-0.5178933936388455,3.9843508042827436
7,1,equal,-0.9894747729032776,-1.6986652379994998,2.219686126120713
7,6,unequal,13.20590713509049,2.9823175101371526,11.402718505086494
8,1,equal,1.274700348275859,-1.1175113101419618,4.3730333586299315
8,6,unequal,3.445860851919371,-0.4865304368603558,9.729777706174362
9,1,unequal,5.476583788291574,0.15945875893717212,16.647083822225174
9,6,unequal,-0.41477720932138934,-1.3577222902963577,8.549332394761064
10,1,unequal,1.432387801841613,-1.2328986975277163,49.99999999999999
10,6,unequal,-8.528024782648636,0.5486710184834358,49.99999999999999
11,1,equal,2.1577861959167732,-0.9837446131762447,1.9772202297264854
11,6,unequal,4.410893753061107,-0.12367086195540704,4.062909664754099
12,1,equal,0.8907085870302377,-1.4659153477857119,1.0928938454348662
12,6,unequal,-0.11334490681345341,-1.5456227110378873,3.8439815507585617
13,1,equal,1.476862629710192,-1.2143908448310246,49.99999999999999
13,6,unequal,12.997787666725603,0.11285469835469637,49.999999999999986
14,1,equal,-3.8573606549668593,-2.63931711066646,18.08277634713386
14,6,unequal,11.755228711389563,2.5072537860948363,14.856993107992551
15,1,equal,-1.6304297258653968,-1.9330206966170993,2.3292930600173056
15,6,unequal,2.6318578275068587,-0.7404034981798431,4.210364237315248
16,1,equal,-0.5258605129269585,-1.644921378177799,2.1342198602269553
16,6,unequal,1.3308306588407022,-1.070130523743131,5.253585290242036
17,1,equal,-24.750890327411078,-9.142213077414647,49.99999999999061
17,6,unequal,19.53585476920147,4.527163211884758,49.99999999999999
18,1,equal,3.5817814596473236,-0.40519667464683884,5.211804806187948
18,6,unequal,8.55561233293546,1.2974584694358209,9.423813171823346
19,1,equal,2.7652159672461645,-0.6710645479069351,11.011157445025797
19,6,unequal,5.822319750415072,1.2618856524242608,10.734315748289022
20,1,equal,-0.491221888035116,-1.5978586442512936,2.4583436210213594
20,6,unequal,2.1027344537907937,-0.8097069219934239,9.229467288483562
21,1,equal,6.306548627023895,0.38257888773915183,27.121918449826403
21,6,unequal,10.585617494215597,2.104826976070491,26.81538807562711
22,1,equal,32.24828402190489,9.904987612503891,47.147060509879374
22,6,unequal,11.146443675104278,0.9365978547242046,49.99999981140118
23,1,equal,5.314257058898203,0.5464442860096258,31.50451405914417
23,6,unequal,30.074112949847137,9.126362816049072,49.99999999999992
24,1,equal,1.7433829959912601,-0.9166170078745592,1.680577029266215
24,6,unequal,0.7813993527681462,-1.2082414176935548,0.821363437629798
25,1,equal,2.6379540405096007,-0.6444035305974913,3.853114740162192
25,6,unequal,2.555768808609503,-0.6905225044351839,8.13776883540187
26,1,equal,-1.429266912475151,-1.9503082948303483,42.38782982568743
